bin,low,high,count,mae
"[0, 10)",0.0,10.0,222,2.900977373123169
"[10, 20)",10.0,20.0,147,5.200231075286865
"[20, 30)",20.0,30.0,579,3.7376201152801514
"[30, 40)",30.0,40.0,465,4.652403831481934
"[40, 50)",40.0,50.0,244,5.6746907234191895
"[50, 60)",50.0,60.0,146,6.655274868011475
"[60, 70)",60.0,70.0,104,8.72556209564209
"[70, inf)",70.0,inf,71,12.615412712097168
