bin,low,high,count,mae
"[0, 10)",0.0,10.0,222,8.891484260559082
"[10, 20)",10.0,20.0,147,9.660834312438965
"[20, 30)",20.0,30.0,579,5.211104393005371
"[30, 40)",30.0,40.0,465,6.606851577758789
"[40, 50)",40.0,50.0,244,10.114888191223145
"[50, 60)",50.0,60.0,146,14.638099670410156
"[60, 70)",60.0,70.0,104,20.760517120361328
"[70, inf)",70.0,inf,71,34.20977020263672
