model,epochs_run,best_epoch_by_val_mae,best_val_mae,best_val_rmse,final_val_mae,test_mae,test_rmse,n_test,pred_std,pearson_r,mean_epoch_time_sec,gpu_mem_peak_mb
DenseNet121 (50ep),50,31,4.098285675048828,6.302032251912901,4.181094169616699,4.94092,6.942903,1978,15.259916305541992,0.9250126515481217,9.257379460334779,4122.57861328125
"ViT-B/16 (LLRD+warmup, 50ep)",50,37,4.126954555511475,6.1956720813050215,4.198539733886719,4.860683,6.943314,1978,15.273855209350586,0.9243757340530219,36.18053619384766,2990.80712890625
"ViT-B/16 (default recipe, 50ep)",50,45,7.628778457641602,10.69931572838488,7.648080825805664,9.442189,13.134458,1978,11.543868064880371,0.6956064979636373,36.09287709236145,2989.80712890625
