bin,low,high,count,mae
"[0, 10)",0.0,10.0,222,3.199021100997925
"[10, 20)",10.0,20.0,147,5.2891082763671875
"[20, 30)",20.0,30.0,579,3.6493921279907227
"[30, 40)",30.0,40.0,465,4.48061466217041
"[40, 50)",40.0,50.0,244,5.709335803985596
"[50, 60)",50.0,60.0,146,6.772465229034424
"[60, 70)",60.0,70.0,104,8.349847793579102
"[70, inf)",70.0,inf,71,11.813143730163574
