bin,low,high,count,mae
"[0, 10)",0.0,10.0,222,2.622781753540039
"[10, 20)",10.0,20.0,147,5.567358493804932
"[20, 30)",20.0,30.0,579,3.7619473934173584
"[30, 40)",30.0,40.0,465,4.23440408706665
"[40, 50)",40.0,50.0,244,6.112612724304199
"[50, 60)",50.0,60.0,146,6.809051036834717
"[60, 70)",60.0,70.0,104,7.592913627624512
"[70, inf)",70.0,inf,71,11.145703315734863
