bin,low,high,count,mae
"[0, 10)",0.0,10.0,222,19.10947608947754
"[10, 20)",10.0,20.0,147,12.030488014221191
"[20, 30)",20.0,30.0,579,4.836106777191162
"[30, 40)",30.0,40.0,465,6.618923187255859
"[40, 50)",40.0,50.0,244,13.2047119140625
"[50, 60)",50.0,60.0,146,19.951324462890625
"[60, 70)",60.0,70.0,104,25.939638137817383
"[70, inf)",70.0,inf,71,41.25224685668945
