bin,low,high,count,mae
"[0, 10)",0.0,10.0,222,2.218967914581299
"[10, 20)",10.0,20.0,147,5.3327741622924805
"[20, 30)",20.0,30.0,579,3.6376426219940186
"[30, 40)",30.0,40.0,465,4.650235652923584
"[40, 50)",40.0,50.0,244,6.563554286956787
"[50, 60)",50.0,60.0,146,7.0322041511535645
"[60, 70)",60.0,70.0,104,7.519021987915039
"[70, inf)",70.0,inf,71,11.741384506225586
