epoch,step,batch_loss,running_avg_loss
1,0,26.575057983398438,26.575057983398438
1,20,28.004589080810547,29.861278170631046
1,40,33.90854263305664,29.262359898264815
1,60,28.054237365722656,29.571496994768985
1,80,28.01164436340332,29.45411698612166
1,100,23.28787612915039,29.37912410320622
1,120,24.689231872558594,28.96771505056334
1,140,19.603553771972656,28.68842202044548
1,160,25.335830688476562,28.438024651189767
1,180,26.993515014648438,27.957856036022882
1,200,21.344684600830078,27.651762976575252
1,220,28.681987762451172,27.253288083486428
1,240,23.9841251373291,26.846375465393066
2,0,19.769973754882812,19.769973754882812
2,20,23.136856079101562,20.56537555512928
2,40,16.68179702758789,19.787049316778415
2,60,15.108144760131836,19.630149997648644
2,80,16.473278045654297,19.330564275199983
2,100,19.516246795654297,19.01629641504571
2,120,10.645668029785156,18.74988461328932
2,140,16.11408233642578,18.592486523567363
2,160,18.41446304321289,18.38213859581799
2,180,20.995624542236328,18.100266172082385
2,200,14.128838539123535,17.894192875914314
2,220,16.01335334777832,17.583444379573493
2,240,20.73752212524414,17.402542153829362
3,0,14.086164474487305,14.086164474487305
3,20,17.02808380126953,13.745886393955775
3,40,9.267534255981445,13.31881413808683
3,60,8.754472732543945,12.80393828720343
3,80,7.877917289733887,12.585486341405797
3,100,6.171970367431641,12.41372246317344
3,120,7.994275093078613,12.14279666616897
3,140,11.957822799682617,11.929661365265542
3,160,11.755874633789062,11.831651817937816
3,180,10.18197250366211,11.755829363238087
3,200,13.724445343017578,11.758791188102457
3,220,8.861804008483887,11.615803815660433
3,240,10.270048141479492,11.494249982952576
4,0,9.247800827026367,9.247800827026367
4,20,7.072153568267822,8.774874369303385
4,40,7.871682643890381,9.133709919161912
4,60,12.054849624633789,9.297326158304683
4,80,10.719003677368164,9.308812235608514
4,100,7.548098564147949,9.432595366298562
4,120,6.641202926635742,9.268752657677517
4,140,5.7942914962768555,9.096414870404182
4,160,7.2540283203125,9.082997949967472
4,180,8.363786697387695,9.075388924192987
4,200,9.980870246887207,9.125812440369259
4,220,10.126667976379395,9.100819743057182
4,240,14.823949813842773,9.095778720507484
5,0,8.62606430053711,8.62606430053711
5,20,5.096356391906738,8.290643737429665
5,40,6.292592525482178,8.04973402255919
5,60,5.546323776245117,7.765150836256684
5,80,10.319719314575195,7.805634316102958
5,100,8.217397689819336,7.7051089211265635
5,120,7.601503849029541,7.643047517981411
5,140,8.906036376953125,7.582045615987575
5,160,7.260882377624512,7.459655740986699
5,180,4.935357093811035,7.372032052245588
5,200,6.004205703735352,7.304119796895269
5,220,6.2661261558532715,7.257269866865685
5,240,5.65959358215332,7.209163300723951
6,0,4.739886283874512,4.739886283874512
6,20,2.8646719455718994,5.938586859475999
6,40,4.2218475341796875,6.051478007944619
6,60,5.93475341796875,5.8276269162287475
6,80,5.86556339263916,5.7239781014713245
6,100,6.468241214752197,5.727980863929975
6,120,7.22468376159668,5.724897276271474
6,140,5.957242965698242,5.667190626157937
6,160,6.955754280090332,5.694053802431
6,180,5.049513816833496,5.6502291998151914
6,200,2.996580123901367,5.627251016559885
6,220,4.9002685546875,5.636982358958386
6,240,4.178569793701172,5.644720233822264
7,0,6.025552749633789,6.025552749633789
7,20,7.959875106811523,5.069456407002041
7,40,3.9186534881591797,5.0463112272867345
7,60,4.527493476867676,5.025628062545276
7,80,4.497506141662598,4.933896797674674
7,100,5.323701858520508,4.85524579085926
7,120,3.088353157043457,4.736321760603219
7,140,3.9898428916931152,4.689225048038131
7,160,1.6843724250793457,4.652748297460331
7,180,4.984827995300293,4.684401281630795
7,200,4.1164751052856445,4.633470261274879
7,220,4.915017127990723,4.6499266311593725
7,240,4.24384880065918,4.687408260290058
8,0,6.040060997009277,6.040060997009277
8,20,4.031653881072998,3.819752647763207
8,40,2.9502902030944824,3.7906296020600854
8,60,4.135727882385254,3.9283705265795597
8,80,4.365391254425049,3.989864690804187
8,100,2.330408811569214,3.8986360554647916
8,120,3.936391592025757,3.90791200606291
8,140,5.354245185852051,3.956777954777927
8,160,3.053234100341797,4.025712583376014
8,180,3.986689567565918,4.001587152481079
8,200,3.5510804653167725,4.032048339274392
8,220,2.6807425022125244,4.018959936513081
8,240,3.5176448822021484,4.010412037125267
9,0,2.775869369506836,2.775869369506836
9,20,3.2483794689178467,3.75161075592041
9,40,3.4855945110321045,3.851459892784677
9,60,3.348727226257324,3.7611792282979994
9,80,3.770629405975342,3.757292049902457
9,100,1.697300672531128,3.672643772446283
9,120,5.0217485427856445,3.653132483978902
9,140,2.8905067443847656,3.6121365482925523
9,160,3.3241286277770996,3.6196471697055035
9,180,3.358701229095459,3.5758910212068926
9,200,3.432277202606201,3.5519821193087755
9,220,2.573590040206909,3.5665667520928706
9,240,4.0437798500061035,3.5708522925238393
10,0,2.6505184173583984,2.6505184173583984
10,20,3.3296852111816406,3.162754331316267
10,40,2.1489596366882324,2.9449205602087627
10,60,3.507061719894409,3.0597177235806576
10,80,4.441207408905029,3.0619473854700723
10,100,2.868683338165283,3.080858889192638
10,120,3.6410255432128906,3.1111460953704584
10,140,3.768461227416992,3.129646071305512
10,160,3.0133230686187744,3.111747217474517
10,180,2.8205490112304688,3.091876493633123
10,200,4.057786464691162,3.127908117142483
10,220,2.83150053024292,3.1361052633950073
10,240,3.887809991836548,3.1368595826675287
11,0,4.206275463104248,4.206275463104248
11,20,3.4200971126556396,3.062446083341326
11,40,3.326143503189087,2.9711635083687016
11,60,2.788316249847412,2.9812620155146865
11,80,3.0268096923828125,2.927619096673565
11,100,3.2098355293273926,2.980189398963853
11,120,3.0858824253082275,3.0250705510131586
11,140,2.8197250366210938,3.0179844376043223
11,160,1.7887481451034546,2.9876063884415243
11,180,3.35805606842041,2.9680874835061766
11,200,2.8743703365325928,2.9578924101976614
11,220,1.9205297231674194,2.9746239023510688
11,240,3.4257936477661133,2.981943499497853
12,0,1.9519429206848145,1.9519429206848145
12,20,3.005368232727051,2.3963584956668673
12,40,2.1348989009857178,2.4487992932156817
12,60,2.109126091003418,2.5641510369347746
12,80,3.9519405364990234,2.6464342541164823
12,100,2.5660054683685303,2.6805855755758756
12,120,2.9034600257873535,2.6706428399755935
12,140,3.3427581787109375,2.6710779345627373
12,160,4.5082244873046875,2.6832359133299835
12,180,1.3447312116622925,2.700043825154805
12,200,2.6267457008361816,2.6974250813621787
12,220,3.107804298400879,2.7168437986891734
12,240,2.069401741027832,2.697400940899038
13,0,2.755685329437256,2.755685329437256
13,20,2.311504602432251,2.465833993185134
13,40,2.688199520111084,2.463725877971184
13,60,2.871124267578125,2.4703144870820593
13,80,2.535520315170288,2.562109308478273
13,100,2.0110974311828613,2.501000682906349
13,120,2.826399564743042,2.4832557755068314
13,140,1.8266558647155762,2.4644719391849867
13,160,4.632121562957764,2.5445547559246515
13,180,3.21518874168396,2.5674401755491014
13,200,1.636610746383667,2.5400794705941308
13,220,2.8404202461242676,2.552737537822033
