epoch,step,batch_loss,running_avg_loss
1,0,26.921566009521484,26.921566009521484
1,20,29.438146591186523,28.883199055989582
1,40,30.883344650268555,29.05656623840332
1,60,27.54200553894043,28.356721971855787
1,80,25.675600051879883,27.720512295946662
1,100,22.770523071289062,26.988825656399868
1,120,21.206300735473633,26.264036052483174
2,0,21.153823852539062,21.153823852539062
2,20,20.117883682250977,21.389433452061244
2,40,19.766239166259766,21.089291270186262
2,60,14.779054641723633,20.416546462012118
2,80,17.332176208496094,19.956366809797874
2,100,15.640695571899414,19.359007202752746
2,120,17.83534049987793,18.795238502754653
3,0,15.699407577514648,15.699407577514648
3,20,11.654167175292969,14.071912674676804
3,40,12.55531120300293,13.71417182829322
3,60,10.994405746459961,13.284445684464252
3,80,12.249711990356445,12.725742528468002
3,100,13.560639381408691,12.392892105744616
3,120,8.717804908752441,11.930643385106867
4,0,7.709776878356934,7.709776878356934
4,20,5.831075668334961,7.820173081897554
4,40,7.507378578186035,7.848704663718619
4,60,5.806996822357178,7.630844256916984
4,80,5.414967060089111,7.3801784574249645
4,100,7.25651741027832,7.286547193432798
4,120,8.421958923339844,7.088845698301458
5,0,6.37089729309082,6.37089729309082
5,20,5.231478691101074,5.607361850284395
5,40,7.178257942199707,5.491362751984015
5,60,5.004614353179932,5.426163747662404
5,80,4.490639686584473,5.394336774025434
5,100,4.890157699584961,5.319165579163202
5,120,3.9450509548187256,5.263500572236116
6,0,3.6340293884277344,3.6340293884277344
6,20,4.089262962341309,4.632237809044974
6,40,4.261878967285156,4.597633466487977
6,60,7.2977166175842285,4.713816396525649
6,80,5.360102653503418,4.6466372160264005
6,100,5.631869316101074,4.6537566727930955
6,120,4.493146896362305,4.644442524791749
7,0,4.524182319641113,4.524182319641113
7,20,5.7142863273620605,4.314757369813465
7,40,5.461748123168945,4.316719700650471
7,60,3.8511223793029785,4.440823515907663
7,80,3.519076108932495,4.352780851317041
7,100,5.944976806640625,4.342310707167823
7,120,4.194147109985352,4.364783450591663
8,0,7.160435676574707,7.160435676574707
8,20,4.554152965545654,3.7373478639693487
8,40,3.167721748352051,4.016265281816808
8,60,4.025184631347656,3.8957166359072826
8,80,3.1622278690338135,3.8069349630379383
8,100,3.4853885173797607,3.8303306810926685
8,120,3.5680017471313477,3.881334340276797
9,0,4.119453430175781,4.119453430175781
9,20,3.072796106338501,3.7572681336175826
9,40,2.8716814517974854,3.7241485467771205
9,60,4.148310661315918,3.90284758317666
9,80,4.014854431152344,3.938543764161475
9,100,3.417574882507324,3.858157429364648
9,120,3.980531692504883,3.874522930334422
10,0,2.481037139892578,2.481037139892578
10,20,3.411940574645996,3.614135299410139
10,40,3.2820518016815186,3.615944298302255
10,60,4.4591264724731445,3.720794744178897
10,80,3.619007110595703,3.660604812480785
10,100,2.4661178588867188,3.589508236044704
10,120,2.907472848892212,3.624544632336325
11,0,3.738358497619629,3.738358497619629
11,20,2.6573643684387207,3.659463575908116
11,40,4.504640579223633,3.6058884655557026
11,60,3.5092790126800537,3.6924293549334415
11,80,2.539703845977783,3.6077415177851546
11,100,3.403959035873413,3.4832759163167215
11,120,2.5561985969543457,3.4204351143403486
12,0,4.446027755737305,4.446027755737305
12,20,2.5525853633880615,2.819615954444522
12,40,3.687159299850464,2.9234926816893787
12,60,2.48862886428833,3.0866250640056174
12,80,2.752755641937256,3.0685299370023937
12,100,3.896672010421753,3.1560489907123075
12,120,3.67564058303833,3.149168167232482
13,0,2.149779796600342,2.149779796600342
13,20,3.2131996154785156,2.89407179469154
13,40,3.7970094680786133,3.1472607734726696
13,60,2.934910774230957,3.057396902412665
13,80,4.725133895874023,3.0834859521300704
13,100,3.863778591156006,3.091718630035325
13,120,2.882368564605713,3.0640955572285926
14,0,3.2204251289367676,3.2204251289367676
14,20,2.7828359603881836,2.786849612281436
14,40,2.410877227783203,2.681259274482727
14,60,2.9182400703430176,2.6527056283638126
14,80,2.0365891456604004,2.717343573217039
14,100,4.198444366455078,2.744091261731516
14,120,4.8004584312438965,2.786259146761303
15,0,2.615499973297119,2.615499973297119
15,20,2.5033135414123535,2.8200691200438
15,40,2.2667951583862305,2.861713487927507
15,60,2.7702598571777344,2.940318017709451
15,80,4.635164260864258,3.0667560777546448
