epoch,lr,train_loss_avg,val_loss,val_mae,val_rmse,epoch_time_sec,gpu_mem_peak_mb
1,5e-05,17.837519556631836,15.039927714029949,15.039928436279297,19.33001329700784,35.568763732910156,2989.80712890625
2,4.995066821070679e-05,13.042644522997191,11.83683252588908,11.836832046508789,16.094418409966796,35.794198513031006,2989.80712890625
3,4.980286753286195e-05,11.323990068546992,11.278719754536947,11.278718948364258,15.213229515619682,35.945990562438965,2989.80712890625
4,4.955718126821722e-05,11.103043595176727,11.211530307769776,11.211529731750488,15.027100559346207,36.04505395889282,2989.80712890625
5,4.9214579028215776e-05,11.059749096747966,11.32771610768636,11.327715873718262,15.332083499114793,36.00582504272461,2989.80712890625
6,4.877641290737884e-05,11.07165010244466,11.263252568562825,11.263252258300781,15.24791665777144,36.04502320289612,2989.80712890625
7,4.8244412147206284e-05,11.052413580482572,11.152808855692546,11.15280818939209,15.004712699623482,35.993852853775024,2989.80712890625
8,4.762067631165049e-05,11.012665108484052,11.103886845906576,11.103886604309082,14.963676723778484,35.9261155128479,2989.80712890625
9,4.6907667001096584e-05,10.960915353975407,11.07069427617391,11.070693969726562,14.785555125894305,35.914451599121094,2989.80712890625
10,4.610819813755037e-05,10.92087439525916,11.061182629903158,11.061182022094727,14.913913636141556,35.931187868118286,2989.80712890625
11,4.5225424859373677e-05,10.851136001631444,11.01615454864502,11.016153335571289,14.879473870933113,35.88168382644653,2989.80712890625
12,4.426283106939472e-05,10.803969368396565,11.06069963200887,11.060699462890625,14.958963846645073,35.9891791343689,2989.80712890625
13,4.322421568553528e-05,10.745182998449422,10.958031443277994,10.95803165435791,14.776225939912523,35.408873558044434,2989.80712890625
14,4.211367764821721e-05,10.642743945585615,10.968148104349773,10.968148231506348,14.310811172196006,36.2415452003479,2989.80712890625
15,4.0935599743717234e-05,10.613865362531016,10.919297022501627,10.919297218322754,14.462122938141885,36.480708599090576,2989.80712890625
16,3.969463130731183e-05,10.478609602738912,10.897386475880941,10.89738655090332,14.227144886143815,36.19781303405762,2989.80712890625
17,3.839566987447491e-05,10.372768543109819,10.894204016367594,10.894204139709473,14.147001432675859,36.35473585128784,2989.80712890625
18,3.7043841852542874e-05,10.302683665130854,10.654354913075766,10.6543550491333,13.930865021388321,36.29187083244324,2989.80712890625
19,3.564448228912681e-05,10.221584442524595,10.540639032999675,10.54063892364502,14.115387743260124,36.15330624580383,2989.80712890625
20,3.420311381711694e-05,10.183897651123166,10.335067150115966,10.335066795349121,13.668099925242215,36.1893789768219,2989.80712890625
21,3.272542485937368e-05,10.006798883356472,10.475302256266277,10.475302696228027,13.971043204348536,36.04707074165344,2989.80712890625
22,3.121724717912136e-05,9.816685175617382,10.383522731781007,10.383522033691406,13.581736340089906,36.10306429862976,2989.80712890625
23,2.9684532864643112e-05,9.713293376135919,10.399521054585774,10.399520874023438,14.010765840889718,36.129366874694824,2989.80712890625
24,2.8133330839107605e-05,9.611035173505197,10.38614369837443,10.386143684387207,13.42764957359586,36.167157888412476,2989.80712890625
25,2.6569762988232828e-05,9.357027443466484,9.831254300435385,9.831254005432129,13.026953119143377,36.15755033493042,2989.80712890625
26,2.499999999999999e-05,9.200949273684609,10.17249054590861,10.172491073608398,13.115118466771886,36.12604546546936,2989.80712890625
27,2.3430237011767157e-05,8.881702077991768,9.750546708424887,9.7505464553833,12.810532432765529,36.15615439414978,2989.80712890625
28,2.1866669160892387e-05,8.700208222355824,9.391558884938558,9.391558647155762,12.485322193026173,36.12819218635559,2989.80712890625
29,2.0315467135356877e-05,8.271317745461074,9.150755630493164,9.150754928588867,12.275413465820039,36.173094749450684,2989.80712890625
30,1.878275282087862e-05,8.1330326429137,8.98168200302124,8.981681823730469,11.955416191766783,36.16464638710022,2989.80712890625
31,1.7274575140626315e-05,7.646809226344068,8.89710733540853,8.89710807800293,11.811760450353006,36.222174644470215,2989.80712890625
32,1.5796886182883053e-05,7.420958822339426,8.73843120956421,8.738430976867676,11.841745815956639,36.26169967651367,2989.80712890625
33,1.4355517710873178e-05,7.2235292163804345,8.570393230438233,8.570393562316895,11.549408630820874,36.234270095825195,2989.80712890625
34,1.295615814745711e-05,7.065122358529948,8.358098634084065,8.358098983764648,11.421921757342735,36.27714157104492,2989.80712890625
35,1.1604330125525074e-05,6.74722304511163,8.196648262023926,8.196648597717285,11.236308264420567,36.31482768058777,2989.80712890625
36,1.030536869268817e-05,6.719346909207593,8.101820812225341,8.101820945739746,11.105023225212973,36.134997844696045,2989.80712890625
37,9.064400256282752e-06,6.481455593257563,8.000978775024414,8.000978469848633,11.026732127476972,36.175220251083374,2989.80712890625
38,7.886322351782778e-06,6.278823214282322,8.002800094604492,8.002800941467285,11.22230953606441,36.164130210876465,2989.80712890625
39,6.775784314464713e-06,6.140934873647727,7.794452894846598,7.794453144073486,10.874142667804465,36.22870087623596,2989.80712890625
40,5.737168930605268e-06,6.0784514970816526,7.789683011372884,7.789683818817139,10.809975037100427,36.26502871513367,2989.80712890625
41,4.774575140626313e-06,5.9492605790090005,7.7026937891642255,7.702693939208984,10.730985281183665,36.16829490661621,2989.80712890625
42,3.891801862449626e-06,5.811028136353548,7.656431841532389,7.656431674957275,10.683653736120444,36.172308683395386,2989.80712890625
43,3.0923329989034086e-06,5.835237715494772,7.699485763549805,7.699485778808594,10.750244137852754,36.03789734840393,2989.80712890625
44,2.379323688349515e-06,5.666218936675254,7.6851033299764,7.685102939605713,10.664322913487053,36.11685633659363,2989.80712890625
45,1.7555878527937151e-06,5.578768671718553,7.628778489430745,7.628778457641602,10.69931572838488,36.18943405151367,2989.80712890625
46,1.2235870926211608e-06,5.572884768363567,7.656379557291666,7.656379699707031,10.669095795920995,36.061463594436646,2989.80712890625
47,7.854209717842252e-07,5.524392518551897,7.640824216206869,7.640824317932129,10.67720615719497,36.02526521682739,2989.80712890625
48,4.428187317827816e-07,5.558779132041486,7.6594125887552895,7.659412860870361,10.67356562034252,35.96142864227295,2989.80712890625
49,1.971324671380557e-07,5.548745326031043,7.656509808858235,7.656509876251221,10.669883799183848,35.940555572509766,2989.80712890625
50,4.9331789293210987e-08,5.5596953273283365,7.648080945332845,7.648080825805664,10.665198542968504,35.98025727272034,2989.80712890625
